userFromName,userFromId,userToId,userToName,Sentiment_from,Sentiment_to,weight
satishshuklaa,126849159,1.03E+18,RahulDubeyBABA,0,-0.54,0
56perumal,1666873268,1.03E+18,RahulDubeyBABA,0.29,-0.54,-0.1566
singh_76,988268701,8.38E+17,vsarrulmozhy,0,-0.61,0
BJPGMDassPondy,1.07E+18,8.38E+17,vsarrulmozhy,0.91,-0.61,-0.5551
AnupamMishra8,386487217,8.38E+17,vsarrulmozhy,-0.34,-0.61,0.2074
56perumal,1666873268,8.38E+17,vsarrulmozhy,0.29,-0.61,-0.1769
singh_76,988268701,1.03E+18,Aoaoao098,0,0,0
singh_76,988268701,3057929443,Dipu11977Kumar,0,0.81,0
RajTiwa56444261,9.89E+17,3057929443,Dipu11977Kumar,0,0.81,0
V5336Nand,4648690826,3057929443,Dipu11977Kumar,0.29,0.81,0.2349
56perumal,1666873268,3057929443,Dipu11977Kumar,0.29,0.81,0.2349
Prerna_Thakur25,2876927606,3057929443,Dipu11977Kumar,0.82,0.81,0.6642
RajTiwa56444261,9.89E+17,4893682213,ajaysdl1993,0,0,0
vsarrulmozhy,8.38E+17,1.07E+18,BJPGMDassPondy,-0.61,0.91,-0.5551
56perumal,1666873268,1.07E+18,BJPGMDassPondy,0.29,0.91,0.2639
vsarrulmozhy,8.38E+17,386487217,AnupamMishra8,-0.61,-0.34,0.2074
V5336Nand,4648690826,386487217,AnupamMishra8,0.29,-0.34,-0.0986
56perumal,1666873268,386487217,AnupamMishra8,0.29,-0.34,-0.0986
R_parab,483176753,1.06E+18,Mi_Ganu,0,0.68,0
R_parab,483176753,1141775318,sachinitp,0,0.48,0
SarlaSungroya,7.86E+17,1141775318,sachinitp,0.35,0.48,0.168
prav2410,824823218,1141775318,sachinitp,0.48,0.48,0.2304
56perumal,1666873268,1141775318,sachinitp,0.29,0.48,0.1392
AryanAArya9,8.20E+17,1141775318,sachinitp,0.67,0.48,0.3216
R_parab,483176753,824823218,prav2410,0,0.48,0
chetans88666,3288284111,824823218,prav2410,0,0.48,0
sachinitp,1141775318,824823218,prav2410,0.48,0.48,0.2304
Dipu11977Kumar,3057929443,824823218,prav2410,0.81,0.48,0.3888
AnilKumarSaga11,4226305694,824823218,prav2410,0,0.48,0
Prerna_Thakur25,2876927606,824823218,prav2410,0.82,0.48,0.3936
AryanAArya9,8.20E+17,824823218,prav2410,0.67,0.48,0.3216
Mi_Ganu,1.06E+18,483176753,R_parab,0.68,0,0
TechguruUp2,3868225155,4919734296,akhileshcares,0,-0.68,0
hisamuddink51,8.38E+17,4919734296,akhileshcares,-0.66,-0.68,0.4488
adityak58996261,7.59E+17,4919734296,akhileshcares,-0.43,-0.68,0.2924
rahulyadav0421,2969169408,4919734296,akhileshcares,0.43,-0.68,-0.2924
AkhileshFan,4360241175,4919734296,akhileshcares,-0.68,-0.68,0.4624
SUBASH50693,1.04E+18,4919734296,akhileshcares,-0.33,-0.68,0.2244
TechguruUp2,3868225155,4360241175,AkhileshFan,0,-0.68,0
hisamuddink51,8.38E+17,4360241175,AkhileshFan,-0.66,-0.68,0.4488
rahulyadav0421,2969169408,4360241175,AkhileshFan,0.43,-0.68,-0.2924
akhileshcares,4919734296,4360241175,AkhileshFan,-0.68,-0.68,0.4624
SUBASH50693,1.04E+18,4360241175,AkhileshFan,-0.33,-0.68,0.2244
YourGirlNeha,1.04E+18,7.10E+17,Dilsedesh,0.67,0.36,0.2412
WasiuddinSiddi1,9.24E+17,7.10E+17,Dilsedesh,0.67,0.36,0.2412
Kadirsolanki2,9.86E+17,7.10E+17,Dilsedesh,0.19,0.36,0.0684
ERRKVAID3,1.03E+18,7.10E+17,Dilsedesh,0,0.36,0
Drraj94397198,9.47E+17,7.10E+17,Dilsedesh,0.77,0.36,0.2772
MahapatPravat,2875395596,7.10E+17,Dilsedesh,0.58,0.36,0.2088
