userFromName,userFromId,userToId,userToName,Sentiment_from,Sentiment_to,weight
CongressALL,86663727,1.01E+18,_GuruGhantal_,0.55,0,0
Rahis29411164,1.01E+18,1.01E+18,_GuruGhantal_,-0.75,0,0
GunjaSV,9.43E+17,1.01E+18,_GuruGhantal_,0.72,0,0
pal_sahab74,1.09E+18,1.01E+18,_GuruGhantal_,0,0,0
AaliyaAkhter,1.08E+18,1.01E+18,_GuruGhantal_,-0.49,0,0
Dilsedesh,7.10E+17,1.01E+18,_GuruGhantal_,0.36,0,0
BRamdevi,1.08E+18,9.51E+17,Preeti354,0,-0.49,0
BirjuKu04,9.32E+17,9.51E+17,Preeti354,-0.49,-0.49,0.2401
PreetiDasi9,1.08E+18,9.51E+17,Preeti354,0,-0.49,0
ramesh00302,8.49E+17,9.51E+17,Preeti354,-0.47,-0.49,0.2303
Preeti354,9.51E+17,9.32E+17,BirjuKu04,-0.49,-0.49,0.2401
PreetiDasi9,1.08E+18,9.32E+17,BirjuKu04,0,-0.49,0
PreetiDasi9,1.08E+18,1.09E+18,U8yQTbfUkcPXk9m,0,0,0
PreetiDasi9,1.08E+18,1.08E+18,BRamdevi,0,0,0
sachinitp,1141775318,7.86E+17,SarlaSungroya,0.48,0.35,0.168
Dipu11977Kumar,3057929443,7.86E+17,SarlaSungroya,0.81,0.35,0.2835
AnilKumarSaga11,4226305694,7.86E+17,SarlaSungroya,0,0.35,0
56perumal,1666873268,7.86E+17,SarlaSungroya,0.29,0.35,0.1015
Prerna_Thakur25,2876927606,7.86E+17,SarlaSungroya,0.82,0.35,0.287
Dipu11977Kumar,3057929443,2876927606,Prerna_Thakur25,0.81,0.82,0.6642
AnilKumarSaga11,4226305694,2876927606,Prerna_Thakur25,0,0.82,0
ERRKVAID3,1.03E+18,2876927606,Prerna_Thakur25,0,0.82,0
WasiuddinSiddi1,9.24E+17,8.38E+17,hisamuddink51,0.67,-0.66,-0.4422
Sayed23219671,9.94E+17,8.38E+17,hisamuddink51,0,-0.66,0
MahapatPravat,2875395596,8.38E+17,hisamuddink51,0.58,-0.66,-0.3828
Mushtaque51,9.15E+17,8.38E+17,hisamuddink51,0.71,-0.66,-0.4686
